frame,tipo_objeto,confianza,tracking_id,x1,y1,x2,y2,matricula_conf,mx1,my1,mx2,my2,texto_matricula
35,car,0.8143390417098999,3,1082,589,1193,686,0.0,0,0,0,0,
36,car,0.912388265132904,1,1163,539,1479,783,0.8202751874923706,1252,638,1348,682,03871 [7D
36,person,0.8511717915534973,2,1799,546,1867,735,0.0,0,0,0,0,
36,car,0.8134630918502808,3,1084,590,1193,685,0.0,0,0,0,0,
36,car,0.5378535985946655,7,49,525,362,680,0.0,0,0,0,0,
37,car,0.9032302498817444,1,1164,539,1480,783,0.8257393836975098,1254,638,1349,681,[3871 4M
37,person,0.8449589610099792,2,1799,547,1867,735,0.0,0,0,0,0,
37,car,0.8159772753715515,3,1084,589,1193,685,0.0,0,0,0,0,
37,car,0.5783039927482605,7,44,526,357,678,0.0,0,0,0,0,
38,car,0.902064859867096,1,1166,538,1482,783,0.8072669506072998,1250,639,1350,682,03871[TD
38,person,0.8447831273078918,2,1799,547,1866,735,0.0,0,0,0,0,
38,car,0.8141367435455322,3,1086,588,1194,685,0.0,0,0,0,0,
38,car,0.5388893485069275,7,44,526,352,678,0.0,0,0,0,0,
39,car,0.8938043117523193,1,1168,539,1482,782,0.5650275945663452,1168,539,1232,611,
39,person,0.8438123464584351,2,1799,547,1867,735,0.0,0,0,0,0,
39,car,0.8284316658973694,3,1087,588,1193,685,0.0,0,0,0,0,
39,car,0.5267559885978699,7,39,525,346,679,0.0,0,0,0,0,
40,car,0.8885193467140198,1,1169,538,1482,782,0.5363826155662537,1169,543,1233,610,
40,person,0.8450692892074585,2,1799,547,1867,735,0.0,0,0,0,0,
40,car,0.8163354992866516,3,1087,590,1193,684,0.0,0,0,0,0,
40,car,0.5212586522102356,7,15,523,342,679,0.0,0,0,0,0,
41,car,0.898307740688324,1,1170,538,1483,781,0.7988554239273071,1253,639,1351,680,03871 LQD
41,person,0.8507869839668274,2,1799,548,1867,735,0.0,0,0,0,0,
41,car,0.8299583196640015,3,1088,588,1195,684,0.0,0,0,0,0,
41,car,0.5930314660072327,7,11,522,271,634,0.0,0,0,0,0,
42,car,0.8902437090873718,1,1170,539,1482,781,0.8387277722358704,1260,638,1351,680,0387 1 LID
42,person,0.8524559140205383,2,1800,547,1867,734,0.0,0,0,0,0,
42,car,0.8420741558074951,3,1090,588,1196,683,0.0,0,0,0,0,
42,car,0.5199807286262512,7,9,520,240,615,0.0,0,0,0,0,
43,car,0.891040027141571,1,1172,540,1482,781,0.8296064734458923,1261,640,1354,679,03871 LOD
43,person,0.849284827709198,2,1800,547,1867,733,0.0,0,0,0,0,
43,car,0.8494388461112976,3,1091,589,1197,683,0.0,0,0,0,0,
43,car,0.5115712285041809,7,11,521,229,610,0.0,0,0,0,0,
44,car,0.9023017287254333,1,1173,540,1482,780,0.8431663513183594,1263,639,1354,680,0387 1 LIp
44,person,0.845371663570404,2,1800,547,1868,733,0.0,0,0,0,0,
44,car,0.8590077757835388,3,1092,590,1197,683,0.0,0,0,0,0,
44,car,0.5393900275230408,7,2,521,229,607,0.0,0,0,0,0,
45,car,0.8870890140533447,1,1175,542,1483,781,0.8300681114196777,1263,639,1355,680,0387 1 LTD
45,person,0.837390661239624,2,1800,547,1868,733,0.0,0,0,0,0,
45,car,0.8473384380340576,3,1093,589,1199,682,0.0,0,0,0,0,
45,car,0.6685172319412231,7,0,521,227,607,0.0,0,0,0,0,
46,car,0.8833423256874084,1,1176,541,1483,781,0.8405186533927917,1264,640,1357,680,0387 1 LLD
46,person,0.8322083950042725,2,1801,547,1868,733,0.0,0,0,0,0,
46,car,0.8421754240989685,3,1094,588,1199,682,0.0,0,0,0,0,
46,car,0.5767868757247925,7,0,518,229,607,0.0,0,0,0,0,
46,car,0.6472135782241821,11,1,519,322,679,0.0,0,0,0,0,
47,car,0.8719877004623413,1,1177,541,1483,781,0.8375070691108704,1264,640,1358,680,03871 LP
47,person,0.8371975421905518,2,1801,547,1869,733,0.0,0,0,0,0,
47,car,0.7952980995178223,3,1095,587,1200,682,0.0,0,0,0,0,
47,car,0.5970511436462402,7,0,518,235,607,0.0,0,0,0,0,
47,car,0.6374589204788208,11,0,519,320,680,0.5556789040565491,0,612,116,680,
48,car,0.872934877872467,1,1178,540,1483,780,0.8284494280815125,1266,639,1356,679,03871 LIP
48,person,0.8402239680290222,2,1800,547,1869,733,0.0,0,0,0,0,
48,car,0.8074353933334351,3,1096,587,1200,682,0.0,0,0,0,0,
48,car,0.6494665741920471,7,0,518,233,608,0.0,0,0,0,0,
48,car,0.5417322516441345,11,0,519,317,684,0.5174736380577087,0,614,120,675,
48,person,0.5388822555541992,13,1897,604,1919,736,0.0,0,0,0,0,
49,car,0.8704138398170471,1,1180,541,1483,780,0.8225947022438049,1267,640,1356,679,13871 LLD
49,person,0.8405358195304871,2,1800,547,1869,733,0.0,0,0,0,0,
49,car,0.8564319610595703,3,1096,587,1200,682,0.0,0,0,0,0,
49,car,0.6841632723808289,7,0,519,236,609,0.0,0,0,0,0,
49,person,0.5619033575057983,13,1895,604,1919,736,0.0,0,0,0,0,
50,car,0.8688914179801941,1,1180,541,1483,781,0.8188291788101196,1266,640,1358,680,3871 LV
50,person,0.8338292241096497,2,1799,546,1869,732,0.0,0,0,0,0,
50,car,0.8451599478721619,3,1096,588,1201,682,0.0,0,0,0,0,
50,car,0.5670627951622009,7,0,519,240,610,0.0,0,0,0,0,
50,person,0.6177310943603516,13,1887,604,1919,736,0.0,0,0,0,0,
51,car,0.8888875842094421,1,1181,541,1483,780,0.827873945236206,1268,640,1356,677,[3871 LO
51,person,0.8370391726493835,2,1800,546,1870,732,0.0,0,0,0,0,
51,car,0.8296001553535461,3,1097,588,1202,682,0.0,0,0,0,0,
51,car,0.6533673405647278,7,0,518,242,610,0.0,0,0,0,0,
51,person,0.6389881372451782,13,1881,604,1919,736,0.0,0,0,0,0,
52,car,0.890815019607544,1,1182,541,1483,780,0.8292509317398071,1268,640,1357,677,3871 LL
52,person,0.8338268399238586,2,1800,546,1870,732,0.0,0,0,0,0,
52,car,0.7785829305648804,3,1098,589,1203,682,0.0,0,0,0,0,
52,car,0.7076671719551086,7,0,519,243,609,0.0,0,0,0,0,
52,person,0.6436480283737183,13,1881,605,1919,735,0.0,0,0,0,0,
53,car,0.8781982660293579,1,1182,542,1484,780,0.8223745822906494,1268,639,1358,678,[3871 LVL
53,person,0.8354705572128296,2,1800,546,1871,732,0.0,0,0,0,0,
53,car,0.7934917211532593,3,1099,588,1204,682,0.0,0,0,0,0,
53,car,0.6665249466896057,7,0,517,242,609,0.0,0,0,0,0,
53,person,0.6166868805885315,13,1885,605,1919,735,0.0,0,0,0,0,
